date,Africa,Asia,Europe,North America,Oceania,South America,world
2019-12-29,0,2,0,0,0,0,2
2020-01-05,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0
2020-01-26,0,4,0,0,2,0,6
2020-02-02,0,1,2,1,3,0,7
2020-02-09,1,3,0,0,1,0,5
2020-02-16,0,1,1,0,0,0,2
2020-02-23,0,1,0,0,2,0,3
2020-03-01,0,5,7,1,1,1,15
2020-03-08,1,1,2,1,0,0,5
2020-03-15,1,2,2,1,1,5,12
2020-03-22,4,7,3,5,3,10,32
2020-03-29,1,3,3,3,15,5,30
2020-04-05,8,3,1,4,12,6,34
2020-04-12,1,1,0,2,0,2,6
2020-04-19,0,2,3,0,2,3,10
2020-04-26,3,2,7,1,2,1,16
2020-05-03,4,6,3,3,3,6,25
2020-05-10,1,1,2,0,3,9,16
2020-05-17,2,1,1,1,0,5,10
2020-05-24,3,1,2,0,1,2,9
2020-05-31,1,3,0,2,0,1,7
2020-06-07,2,3,3,0,0,6,14
2020-06-14,2,2,0,1,0,6,11
2020-06-21,1,1,3,1,3,0,9
2020-06-28,0,1,0,0,2,2,5
2020-07-05,3,3,0,1,3,7,17
2020-07-12,1,3,0,1,2,1,8
2020-07-19,1,2,3,0,2,5,13
2020-07-26,2,0,2,0,3,5,12
2020-08-02,2,2,1,3,1,0,9
2020-08-09,1,0,4,2,2,0,9
2020-08-16,0,1,2,0,3,1,7
2020-08-23,0,2,3,1,3,5,14
2020-08-30,1,0,3,2,2,0,8
2020-09-06,1,1,0,2,1,0,5
2020-09-13,0,3,2,1,1,2,9
2020-09-20,1,0,3,1,3,5,13
2020-09-27,0,1,2,0,1,2,6
2020-10-04,2,2,1,1,1,4,11
2020-10-11,0,2,1,0,3,4,10
2020-10-18,1,2,1,1,0,3,8
2020-10-25,2,0,2,0,1,0,5
2020-11-01,2,0,0,3,2,1,8
2020-11-08,1,0,2,3,1,0,7
2020-11-15,2,0,2,1,1,1,7
2020-11-22,3,2,1,1,2,1,10
2020-11-29,0,2,1,2,2,0,7
2020-12-06,1,1,2,8,0,0,12
2020-12-13,1,1,1,0,1,1,5
2020-12-20,3,1,2,0,2,1,9
2020-12-27,3,2,1,5,1,1,13
2021-01-03,3,2,5,2,1,2,15
2021-01-10,4,2,3,1,2,0,12
2021-01-17,1,2,1,1,1,0,6
2021-01-24,2,2,3,3,1,5,16
2021-01-31,3,7,1,3,1,2,17
2021-02-07,5,1,5,2,1,2,16
2021-02-14,4,4,3,2,0,3,16
2021-02-21,2,3,1,3,0,3,12
2021-02-28,3,1,3,5,1,4,17
2021-03-07,1,1,0,3,1,5,11
2021-03-14,2,2,3,5,1,7,20
2021-03-21,0,0,2,2,0,1,5
2021-03-28,2,0,2,4,0,0,8
2021-04-04,3,3,3,2,0,0,11
2021-04-11,1,2,1,5,0,6,15
2021-04-18,2,1,3,3,0,2,11
2021-04-25,3,0,1,4,0,1,9
2021-05-02,4,2,0,5,1,0,12
2021-05-09,2,0,1,3,1,5,12
2021-05-16,0,1,3,6,0,1,11
2021-05-23,1,1,5,2,0,1,10
2021-05-30,2,5,0,2,0,2,11
2021-06-06,0,2,2,2,1,0,7
2021-06-13,2,2,1,0,1,0,6
2021-06-20,2,0,4,2,0,0,8
2021-06-27,0,3,0,2,0,1,6
2021-07-04,2,2,3,3,0,0,10
2021-07-11,2,0,2,1,0,0,5
2021-07-18,1,2,2,2,1,0,8
2021-07-25,0,2,1,1,1,0,5
2021-08-01,3,2,0,4,1,0,10
2021-08-08,0,1,2,5,0,5,13
2021-08-15,2,3,1,1,0,0,7
2021-08-22,0,0,6,2,5,0,13
2021-08-29,3,3,5,1,3,0,15
2021-09-05,7,2,11,21,19,0,60
2021-09-12,25,63,34,28,129,0,279
2021-09-19,46,22,33,26,85,0,212
2021-09-26,24,82,30,25,58,0,219
2021-10-03,31,26,25,44,0,0,126
2021-10-10,41,23,26,23,0,0,113
2021-10-17,42,9,22,22,0,0,95
2021-10-24,55,19,28,19,0,0,121
2021-10-31,13,24,35,29,0,0,101
2021-11-07,5,19,31,36,0,0,91
2021-11-14,18,26,38,21,0,0,103
2021-11-21,14,8,33,20,0,0,75
2021-11-28,17,36,25,21,1,0,100
2021-12-05,9,42,62,26,0,0,139
2021-12-12,14,20,24,29,0,0,87
2021-12-19,30,24,16,29,0,0,99
2021-12-26,1,2,0,21,0,0,24
2022-01-02,0,6,0,17,0,0,23
