,date,region,value
0,2019-12-29,Africa,0
1,2020-01-05,Africa,0
2,2020-01-12,Africa,0
3,2020-01-19,Africa,0
4,2020-01-26,Africa,0
5,2020-02-02,Africa,0
6,2020-02-09,Africa,1
7,2020-02-16,Africa,0
8,2020-02-23,Africa,0
9,2020-03-01,Africa,0
10,2020-03-08,Africa,1
11,2020-03-15,Africa,1
12,2020-03-22,Africa,4
13,2020-03-29,Africa,1
14,2020-04-05,Africa,8
15,2020-04-12,Africa,1
16,2020-04-19,Africa,0
17,2020-04-26,Africa,3
18,2020-05-03,Africa,4
19,2020-05-10,Africa,1
20,2020-05-17,Africa,2
21,2020-05-24,Africa,3
22,2020-05-31,Africa,1
23,2020-06-07,Africa,2
24,2020-06-14,Africa,2
25,2020-06-21,Africa,1
26,2020-06-28,Africa,0
27,2020-07-05,Africa,3
28,2020-07-12,Africa,1
29,2020-07-19,Africa,1
30,2020-07-26,Africa,2
31,2020-08-02,Africa,2
32,2020-08-09,Africa,1
33,2020-08-16,Africa,0
34,2020-08-23,Africa,0
35,2020-08-30,Africa,1
36,2020-09-06,Africa,1
37,2020-09-13,Africa,0
38,2020-09-20,Africa,1
39,2020-09-27,Africa,0
40,2020-10-04,Africa,2
41,2020-10-11,Africa,0
42,2020-10-18,Africa,1
43,2020-10-25,Africa,2
44,2020-11-01,Africa,2
45,2020-11-08,Africa,1
46,2020-11-15,Africa,2
47,2020-11-22,Africa,3
48,2020-11-29,Africa,0
49,2020-12-06,Africa,1
50,2020-12-13,Africa,1
51,2020-12-20,Africa,3
52,2020-12-27,Africa,3
53,2021-01-03,Africa,3
54,2021-01-10,Africa,4
55,2021-01-17,Africa,1
56,2021-01-24,Africa,2
57,2021-01-31,Africa,3
58,2021-02-07,Africa,5
59,2021-02-14,Africa,4
60,2021-02-21,Africa,2
61,2021-02-28,Africa,3
62,2021-03-07,Africa,1
63,2021-03-14,Africa,2
64,2021-03-21,Africa,0
65,2021-03-28,Africa,2
66,2021-04-04,Africa,3
67,2021-04-11,Africa,1
68,2021-04-18,Africa,2
69,2021-04-25,Africa,3
70,2021-05-02,Africa,4
71,2021-05-09,Africa,2
72,2021-05-16,Africa,0
73,2021-05-23,Africa,1
74,2021-05-30,Africa,2
75,2021-06-06,Africa,0
76,2021-06-13,Africa,2
77,2021-06-20,Africa,2
78,2021-06-27,Africa,0
79,2021-07-04,Africa,2
80,2021-07-11,Africa,2
81,2021-07-18,Africa,1
82,2021-07-25,Africa,0
83,2021-08-01,Africa,3
84,2021-08-08,Africa,0
85,2021-08-15,Africa,2
86,2021-08-22,Africa,0
87,2021-08-29,Africa,3
88,2021-09-05,Africa,7
89,2021-09-12,Africa,25
90,2021-09-19,Africa,46
91,2021-09-26,Africa,24
92,2021-10-03,Africa,31
93,2021-10-10,Africa,41
94,2021-10-17,Africa,42
95,2021-10-24,Africa,55
96,2021-10-31,Africa,13
97,2021-11-07,Africa,5
98,2021-11-14,Africa,18
99,2021-11-21,Africa,14
100,2021-11-28,Africa,17
101,2021-12-05,Africa,9
102,2021-12-12,Africa,14
103,2021-12-19,Africa,30
104,2021-12-26,Africa,1
105,2022-01-02,Africa,0
106,2019-12-29,Asia,2
107,2020-01-05,Asia,0
108,2020-01-12,Asia,0
109,2020-01-19,Asia,0
110,2020-01-26,Asia,4
111,2020-02-02,Asia,1
112,2020-02-09,Asia,3
113,2020-02-16,Asia,1
114,2020-02-23,Asia,1
115,2020-03-01,Asia,5
116,2020-03-08,Asia,1
117,2020-03-15,Asia,2
118,2020-03-22,Asia,7
119,2020-03-29,Asia,3
120,2020-04-05,Asia,3
121,2020-04-12,Asia,1
122,2020-04-19,Asia,2
123,2020-04-26,Asia,2
124,2020-05-03,Asia,6
125,2020-05-10,Asia,1
126,2020-05-17,Asia,1
127,2020-05-24,Asia,1
128,2020-05-31,Asia,3
129,2020-06-07,Asia,3
130,2020-06-14,Asia,2
131,2020-06-21,Asia,1
132,2020-06-28,Asia,1
133,2020-07-05,Asia,3
134,2020-07-12,Asia,3
135,2020-07-19,Asia,2
136,2020-07-26,Asia,0
137,2020-08-02,Asia,2
138,2020-08-09,Asia,0
139,2020-08-16,Asia,1
140,2020-08-23,Asia,2
141,2020-08-30,Asia,0
142,2020-09-06,Asia,1
143,2020-09-13,Asia,3
144,2020-09-20,Asia,0
145,2020-09-27,Asia,1
146,2020-10-04,Asia,2
147,2020-10-11,Asia,2
148,2020-10-18,Asia,2
149,2020-10-25,Asia,0
150,2020-11-01,Asia,0
151,2020-11-08,Asia,0
152,2020-11-15,Asia,0
153,2020-11-22,Asia,2
154,2020-11-29,Asia,2
155,2020-12-06,Asia,1
156,2020-12-13,Asia,1
157,2020-12-20,Asia,1
158,2020-12-27,Asia,2
159,2021-01-03,Asia,2
160,2021-01-10,Asia,2
161,2021-01-17,Asia,2
162,2021-01-24,Asia,2
163,2021-01-31,Asia,7
164,2021-02-07,Asia,1
165,2021-02-14,Asia,4
166,2021-02-21,Asia,3
167,2021-02-28,Asia,1
168,2021-03-07,Asia,1
169,2021-03-14,Asia,2
170,2021-03-21,Asia,0
171,2021-03-28,Asia,0
172,2021-04-04,Asia,3
173,2021-04-11,Asia,2
174,2021-04-18,Asia,1
175,2021-04-25,Asia,0
176,2021-05-02,Asia,2
177,2021-05-09,Asia,0
178,2021-05-16,Asia,1
179,2021-05-23,Asia,1
180,2021-05-30,Asia,5
181,2021-06-06,Asia,2
182,2021-06-13,Asia,2
183,2021-06-20,Asia,0
184,2021-06-27,Asia,3
185,2021-07-04,Asia,2
186,2021-07-11,Asia,0
187,2021-07-18,Asia,2
